Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS1D03G1021400,43,23,110,12,25,76,115,241,54,42,94,135
TraesCS1D03G1021900,329,288,462,194,317,378,458,761,236,563,445,893
TraesCS1D03G1023000,15,20,36,5,10,17,75,127,13,25,31,65
TraesCS1D03G1035400,0,0,0,0,0,0,0,1,0,0,0,0
TraesCS1D03G1046800,0,0,0,0,0,0,0,0,0,0,0,1
TraesCS1D03G1046900,0,0,0,1,0,0,1,0,0,0,0,3
TraesCS2A03G0007100,20,26,50,8,19,36,62,114,17,15,23,72
TraesCS2A03G0008500,430,218,272,7,70,158,976,2002,234,161,506,430
TraesCS2A03G0008900,297,346,440,153,233,204,118,102,224,314,360,408
TraesCS2A03G0009400,187,272,434,156,149,185,32,59,235,285,401,360
TraesCS2A03G0009500,308,367,480,207,259,248,136,141,226,367,437,529
TraesCS2A03G0010200,8,7,12,0,5,7,425,622,3,6,9,167
TraesCS2A03G0010800,98,40,61,24,61,92,447,980,55,38,133,247
TraesCS2A03G0011200,11,47,12,2,0,17,0,3,20,20,23,34
TraesCS2A03G0011300,75,28,53,7,19,5,721,1258,54,28,92,291
TraesCS2A03G0011800,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS2A03G0018500,5,9,18,3,0,3,2,5,20,9,18,18
TraesCS2A03G0018700,0,0,1,0,0,10,0,0,2,0,0,8
TraesCS2A03G0018900,0,0,5,2,0,8,3,5,0,0,0,5
